temp1,temp2,trans1,trans2
36.13,32.25,0,0
36.06,32.25,0,0
36.00,32.25,0,0
35.94,32.19,0,0
35.81,32.19,0,0
35.75,32.19,0,0
35.69,32.19,0,0
35.63,32.19,0,0
35.56,32.13,0,0
35.50,32.13,0,0
35.44,32.13,0,0
35.31,32.06,0,0
35.25,32.06,0,0
35.19,32.06,0,0
35.13,32.00,0,0
35.06,32.00,0,0
35.00,32.00,0,0
34.94,32.00,0,0
34.81,31.94,0,0
34.81,31.94,0,0
34.69,31.94,0,0
34.63,31.87,0,0
34.56,31.87,0,0
34.50,31.87,0,0
34.44,31.81,0,0
34.38,31.81,0,0
34.31,31.81,0,0
34.31,31.81,0,0
34.25,31.81,0,0
34.19,31.81,0,0
34.13,31.75,0,0
34.13,31.81,0,0
34.06,31.75,0,0
34.00,31.75,0,0
34.00,31.75,0,0
33.94,31.75,0,0
33.94,31.75,0,0
33.88,31.75,0,0
33.81,31.75,0,0
33.75,31.75,0,0
33.75,31.75,0,0
33.69,31.69,0,0
33.69,31.69,0,0
33.63,31.69,0,0
33.56,31.69,0,0
33.56,31.69,0,0
33.50,31.69,0,0
33.50,31.69,0,0
33.44,31.69,0,0
33.38,31.62,0,0
33.38,31.62,0,0
33.31,31.62,0,0
33.25,31.56,0,0
33.25,31.56,0,0
33.19,31.56,0,0
33.19,31.56,0,0
33.13,31.56,0,0
33.13,31.56,0,0
33.13,31.56,0,0
33.06,31.56,0,0
33.06,31.56,0,0
33.00,31.56,0,0
33.00,31.56,0,0
33.00,31.56,0,0
32.94,31.56,0,0
32.94,31.50,0,0
32.88,31.50,0,0
32.88,31.50,0,0
32.81,31.50,0,0
32.81,31.50,0,0
32.81,31.50,0,0
32.75,31.44,0,0
32.75,31.44,0,0
32.69,31.44,0,0
32.69,31.44,0,0
32.69,31.44,0,0
32.63,31.44,0,0
32.63,31.44,0,0
32.56,31.37,0,0
32.56,31.37,0,0
32.50,31.37,0,0
32.50,31.37,0,0
32.50,31.31,0,0
32.44,31.31,0,0
32.44,31.31,0,0
32.38,31.31,0,0
32.38,31.31,0,0
32.38,31.25,0,0
32.31,31.25,0,0
32.31,31.25,0,0
32.31,31.25,0,0
32.25,31.25,0,0
32.25,31.25,0,0
32.25,31.25,0,0
32.19,31.19,0,0
32.19,31.19,0,0
32.13,31.19,0,0
32.13,31.19,0,0
32.13,31.19,0,0
32.06,31.19,0,0
32.06,31.19,0,0
32.06,31.19,0,0
32.06,31.19,0,0
32.00,31.12,0,0
32.00,31.12,0,0
31.94,31.12,0,0
31.94,31.12,0,0
31.94,31.12,0,0
31.94,31.12,0,0
31.87,31.12,0,0
31.87,31.12,0,0
31.87,31.12,0,0
31.87,31.12,0,0
31.81,31.12,0,0
31.81,31.12,0,0
31.81,31.12,0,0
31.81,31.06,0,0
31.81,31.12,0,0
31.75,31.06,0,0
31.75,31.06,0,0
31.75,31.06,0,0
31.75,31.06,0,0
31.75,31.06,0,0
31.69,31.06,0,0
31.69,31.00,0,0
31.69,31.00,0,0
31.62,31.00,0,0
31.62,31.00,0,0
31.56,31.00,0,0
31.56,30.94,0,0
31.56,30.94,0,0
31.56,30.94,0,0
31.56,30.94,0,0
31.56,30.94,0,0
31.50,30.94,0,0
31.50,30.94,0,0
31.50,30.94,0,0
31.50,30.94,0,0
31.50,30.94,0,0
31.44,30.94,0,0
31.44,30.94,0,0
31.44,30.94,0,0
31.44,30.94,0,0
31.44,30.87,0,0
31.44,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
31.37,30.87,0,0
